 	$	^	ஃ	அ	ஆ	இ	ஈ	உ	ஊ	எ	ஏ	ஐ	ஒ	ஓ	ஔ	க	ங	ச	ஜ	ஞ	ட	ண	த	ந	ன	ப	ம	ய	ர	ற	ல	ள	ழ	வ	ஷ	ஸ	ஹ	ா	ி	ீ	ு	ூ	ெ	ே	ை	ொ	ோ	ௌ	்
ல	 799	0	1	62	9	20	4	20	1	7	1	0	6	1	0	3424	829	751	3	129	559	128	1172	573	971	1515	4737	231	1126	273	169	65	92	2073	1	25	0	5447	8910	280	3906	371	465	651	12890	222	926	16	42040
ள	 1532	0	1	18	10	9	1	6	2	4	1	0	2	1	0	1469	359	312	0	94	134	39	597	267	301	722	2157	46	1942	149	221	37	27	2397	1	7	0	1291	10141	113	2184	88	174	77	5178	63	137	0	18374
ழ	 167	0	0	3	0	0	0	0	1	0	0	0	0	0	0	962	514	46	0	28	31	8	116	195	125	365	619	3	35	1084	1401	5	4	367	0	0	0	824	7001	15	6504	25	11	9	2934	17	16	0	4029
வ	 421	0	3	9	1	5	0	3	0	1	1	0	1	0	0	2367	312	1255	3	236	3315	1739	1289	469	2683	649	2430	917	7135	1085	3334	3059	2736	222	1	55	2	11617	20774	2090	13578	592	7146	3891	4188	376	551	15	1030
ஷ	 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	9	8	1	0	9	65	30	7	42	26	151	14	16	0	2	0	0	12	0	1	0	108	97	19	9	2	4	39	41	0	5	1	518
ஸ	 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	1	6	0	6	0	1	0	3	0	0	1	0	2	0	12	24	0	1	1	0	1	4	0	4	0	1744
ஹ	 0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	2	2	4	1	6	2	5	5	0	4	0	0	2	0	0	0	107	39	16	2	2	59	17	38	0	24	0	4
ா	 4187	0	22	39	9	10	0	4	1	18	4	0	15	1	0	9953	1805	4866	83	330	9881	3728	8688	2131	9590	3216	4469	9434	14503	5577	7828	4469	1858	3662	144	247	9	0	0	0	0	0	0	0	0	0	0	0	0
ி	 37809	0	24	121	30	47	14	76	15	34	7	2	32	9	0	18249	680	8206	49	726	8241	2703	12764	3097	10878	12510	6259	24871	25093	9963	14601	3354	3905	9321	233	167	7	0	0	0	0	0	0	0	0	0	0	0	0
ீ	 156	0	2	14	1	18	3	22	3	1	0	0	10	1	0	1259	148	940	12	23	2927	245	1018	185	1137	433	347	406	6269	467	787	870	1044	703	20	22	1	0	0	0	0	0	0	0	0	0	0	0	0
ு	 40092	0	3	173	37	66	6	127	28	43	16	2	32	11	0	28326	2406	6145	17	814	10020	6110	26978	5738	3561	15912	15869	1432	11101	13274	3252	7640	5019	14244	286	33	3	0	0	0	0	0	0	0	0	0	0	0	0
ூ	 319	0	4	2	0	0	0	52	0	1	0	0	0	0	0	1216	186	1618	6	142	4133	695	1424	146	517	514	653	200	2787	1870	2187	560	856	605	45	10	2	0	0	0	0	0	0	0	0	0	0	0	0
ெ	 21	0	54	1	0	1	0	0	0	0	0	0	0	0	0	562	561	276	1	480	3667	1792	793	634	2298	966	736	4548	3536	2682	2666	2897	1052	835	2	62	0	0	0	0	0	0	0	0	0	0	0	0	0
ே	 435	0	5	4	0	1	0	2	0	2	0	0	0	0	0	1483	200	1623	14	9	1807	417	1403	325	708	302	469	811	3577	2692	1640	550	162	1104	128	52	3	0	0	0	0	0	0	0	0	0	0	0	0
ை	 31106	0	0	160	26	70	8	68	14	44	7	1	24	16	0	10814	37	4141	5	241	273	15	6015	2292	106	10605	3896	14511	227	1	247	1	2	6861	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0
ொ	 15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1166	318	308	0	54	4931	990	1688	206	649	384	396	412	2164	1826	2503	1873	2136	65	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ோ	 374	0	9	5	0	1	0	0	0	1	1	0	0	0	0	3132	80	821	27	12	3726	973	1669	88	1449	809	586	1268	1897	836	1792	933	497	564	98	49	10	0	0	0	0	0	0	0	0	0	0	0	0
ௌ	 12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	46	2	10	34	18	90	16	17	21	32	0	111	1	24	25	2	47	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
்	 152475	0	45	306	67	125	15	228	38	121	21	2	63	23	0	85909	55	32582	78	195	38373	4959	62748	3454	4751	73551	10206	1049	506	15224	5769	6214	11	11677	115	297	36	0	0	0	0	0	0	0	0	0	0	0	0
